8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,8,8,6,6,6
8,3,8,8,8,8,4,8,8,8,8,8,2,8,8,8,8,6,3,6
8,8,8,8,8,8,4,8,8,8,8,8,8,8,8,8,8,6,6,6
5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6
5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6
5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6
5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6
5,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4
5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6
5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6
5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6
5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6
5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6
4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6
5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6
5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6
5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6
5,5,5,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7
5,5,5,7,7,3,7,7,7,7,7,7,4,7,2,7,7,7,3,7
5,5,5,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7
